"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-01",,,,,,,,,,,"0.0","P,,0","0.0",",,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-02",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-03",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-04",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-05",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-06","    6",",,0",,,"0.42",",,0",,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-07",,,,,,,,,"1.07",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-08",,,,,,,,,"0.54",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-09",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-10",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-11","    3",",,0",,,"0.52",",,0",,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-12",,,,,,,,,"1.68",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-13",,,,,,,,,"1.07",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-14",,,,,,,,,"0.62",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-15",,,,,,,,,"0.02",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-16",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-17",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-18",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-19","    4",",,0",,,"1.40",",,0",,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-20",,,,,,,,,"1.42",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-21",,,,,,,,,"2.37",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-22",,,,,,,,,"1.91",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-23",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-24",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-25",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-26",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-27",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-28",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0","53",",,0","19",",,0",,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-29",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0","54",",,0","22",",,0",,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-30",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-01-31",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0","57",",,0","19",",,0",,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-02-01",,,,,,,,,"0.00","P,,0,0800","0.0","P,,0","0.0",",,0","57",",,0","19",",,0",,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-02-02",,,,,,,,,"0.00","P,,0,0800","0.0","P,,0","0.0","P,,0","53",",,0","18",",,0",,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-02-03",,,,,,,,,"0.00","P,,0,0800","0.0","P,,0","0.0","P,,0","54",",,0","29",",,0",,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-02-04",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1993-02-05","    2",",,0",,,"0.09",",,0",,,,,"0.0","P,,0","0.0","P,,0","45",",,0","33",",,0",,,,,,,,,,,,
